market,period,price_eur_per_t,source_document,evidence_note
EU white sugar,Oct 2024,619,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Nov 2024,599,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Dec 2024,580,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Jan 2025,559,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Feb 2025,541,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Mar 2025,550,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Apr 2025,540,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,May 2025,540,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Jun 2025,536,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Jul 2025,538,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Aug 2025,536,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Sep 2025,529,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Oct 2025,532,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Nov 2025,525,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Dec 2025,518,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Jan 2026,516,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Feb 2026,513,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Mar 2026,510,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
EU white sugar,Apr 2026,502,documents/90_sugar_market/sugar-prices-producers-regions_en.pdf,EU and regional market prices for white sugar; average weighted by quantities.
